yolov3-voc-snowman
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
544
Loaded: 0.000025 seconds
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513308, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.472540, .5R: -nan, .75R: -nan,  count: 0
3: 1644.550293, 1644.959473 avg, 0.000000 rate, 9.824191 seconds, 192 images
Loaded: 0.000030 seconds
Region 82 Avg IOU: 0.193970, Class: 0.459303, Obj: 0.448813, No Obj: 0.467563, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 94 Avg IOU: 0.210779, Class: 0.434660, Obj: 0.475740, No Obj: 0.513135, .5R: 0.000000, .75R: 0.000000,  count: 10
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.470679, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.263831, Class: 0.526902, Obj: 0.345911, No Obj: 0.466822, .5R: 0.153846, .75R: 0.076923,  count: 13
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514056, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469651, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.300215, Class: 0.558169, Obj: 0.323161, No Obj: 0.468659, .5R: 0.300000, .75R: 0.100000,  count: 10
Region 94 Avg IOU: 0.189068, Class: 0.573573, Obj: 0.286193, No Obj: 0.514360, .5R: 0.055556, .75R: 0.000000,  count: 18
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469626, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.119532, Class: 0.582437, Obj: 0.700793, No Obj: 0.467246, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.041926, Class: 0.723522, Obj: 0.060533, No Obj: 0.513537, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469661, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.263196, Class: 0.567773, Obj: 0.260233, No Obj: 0.469291, .5R: 0.333333, .75R: 0.000000,  count: 6
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.513652, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.472383, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.146164, Class: 0.587956, Obj: 0.549954, No Obj: 0.467366, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.514483, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.469453, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.124556, Class: 0.599166, Obj: 0.692015, No Obj: 0.468219, .5R: 0.000000, .75R: 0.000000,  count: 4
