246: 3.051392, 3.672977 avg, 0.000143 rate, 4.463765 seconds, 15744 images
247: 2.862677, 3.591947 avg, 0.000145 rate, 4.468157 seconds, 15808 images
248: 4.240868, 3.656839 avg, 0.000148 rate, 4.458393 seconds, 15872 images
249: 1.934579, 3.484613 avg, 0.000150 rate, 4.458942 seconds, 15936 images
250: 3.508655, 3.487017 avg, 0.000153 rate, 4.458195 seconds, 16000 images
251: 2.570795, 3.395395 avg, 0.000155 rate, 6.037336 seconds, 16064 images
252: 1.940104, 3.249866 avg, 0.000158 rate, 6.127679 seconds, 16128 images
253: 3.474569, 3.272336 avg, 0.000160 rate, 6.127643 seconds, 16192 images
254: 1.965110, 3.141614 avg, 0.000163 rate, 6.080748 seconds, 16256 images
255: 2.956750, 3.123127 avg, 0.000165 rate, 6.071005 seconds, 16320 images
256: 1.929929, 3.003808 avg, 0.000168 rate, 6.087165 seconds, 16384 images
257: 2.037955, 2.907222 avg, 0.000170 rate, 6.065462 seconds, 16448 images
258: 2.294570, 2.845957 avg, 0.000173 rate, 6.110745 seconds, 16512 images
259: 1.741021, 2.735463 avg, 0.000176 rate, 6.085350 seconds, 16576 images
260: 3.827677, 2.844685 avg, 0.000179 rate, 6.085120 seconds, 16640 images
261: 2.589462, 2.819163 avg, 0.000181 rate, 8.254573 seconds, 16704 images
262: 2.335714, 2.770818 avg, 0.000184 rate, 8.361944 seconds, 16768 images
263: 4.385767, 2.932313 avg, 0.000187 rate, 8.428656 seconds, 16832 images
264: 2.180532, 2.857135 avg, 0.000190 rate, 8.380989 seconds, 16896 images
265: 1.921610, 2.763582 avg, 0.000193 rate, 8.374233 seconds, 16960 images
266: 1.966768, 2.683901 avg, 0.000196 rate, 8.392973 seconds, 17024 images
267: 1.632841, 2.578795 avg, 0.000199 rate, 8.367510 seconds, 17088 images
268: 2.120720, 2.532987 avg, 0.000202 rate, 8.416075 seconds, 17152 images
269: 2.804188, 2.560107 avg, 0.000205 rate, 8.381992 seconds, 17216 images
270: 2.174232, 2.521520 avg, 0.000208 rate, 8.377853 seconds, 17280 images
271: 2.263303, 2.495698 avg, 0.000211 rate, 11.886960 seconds, 17344 images
272: 2.508970, 2.497025 avg, 0.000214 rate, 12.117591 seconds, 17408 images
273: 2.230105, 2.470333 avg, 0.000217 rate, 12.128846 seconds, 17472 images
274: 1.708069, 2.394107 avg, 0.000220 rate, 12.096877 seconds, 17536 images
275: 2.342941, 2.388990 avg, 0.000223 rate, 12.116647 seconds, 17600 images
276: 1.565472, 2.306638 avg, 0.000227 rate, 12.101013 seconds, 17664 images
277: 1.704895, 2.246464 avg, 0.000230 rate, 12.100500 seconds, 17728 images
278: 1.575219, 2.179339 avg, 0.000233 rate, 12.084563 seconds, 17792 images
279: 2.508708, 2.212276 avg, 0.000237 rate, 12.130581 seconds, 17856 images
280: 3.632778, 2.354326 avg, 0.000240 rate, 12.136700 seconds, 17920 images
281: 2.232656, 2.342160 avg, 0.000244 rate, 5.103434 seconds, 17984 images
282: 2.877750, 2.395719 avg, 0.000247 rate, 5.120500 seconds, 18048 images
283: 2.037992, 2.359946 avg, 0.000251 rate, 5.129204 seconds, 18112 images
284: 4.849110, 2.608862 avg, 0.000254 rate, 5.125314 seconds, 18176 images
285: 2.370708, 2.585047 avg, 0.000258 rate, 5.124027 seconds, 18240 images
286: 3.118018, 2.638344 avg, 0.000261 rate, 5.127954 seconds, 18304 images
287: 2.344922, 2.609002 avg, 0.000265 rate, 5.130726 seconds, 18368 images
288: 1.769915, 2.525093 avg, 0.000269 rate, 5.126768 seconds, 18432 images
289: 2.497047, 2.522289 avg, 0.000272 rate, 5.128688 seconds, 18496 images
290: 2.148155, 2.484875 avg, 0.000276 rate, 5.122781 seconds, 18560 images
291: 1.867748, 2.423162 avg, 0.000280 rate, 3.738772 seconds, 18624 images
292: 3.416643, 2.522511 avg, 0.000284 rate, 3.783242 seconds, 18688 images
293: 1.697680, 2.440027 avg, 0.000288 rate, 3.788909 seconds, 18752 images
294: 3.173006, 2.513325 avg, 0.000292 rate, 3.796152 seconds, 18816 images
295: 2.960639, 2.558057 avg, 0.000296 rate, 3.784281 seconds, 18880 images
296: 2.460536, 2.548305 avg, 0.000300 rate, 3.876351 seconds, 18944 images
297: 3.297927, 2.623267 avg, 0.000304 rate, 3.790982 seconds, 19008 images
298: 2.739105, 2.634851 avg, 0.000308 rate, 3.789183 seconds, 19072 images
299: 1.983606, 2.569726 avg, 0.000312 rate, 3.794204 seconds, 19136 images
300: 2.180629, 2.530816 avg, 0.000316 rate, 3.774933 seconds, 19200 images
